suburb_code,suburb,avg_events_per_weekday,service_intensity_per_weekday
206041505,Melbourne CBD - West,16350.00,16263.26
206041503,Melbourne CBD - East,11437.00,14264.42
206041504,Melbourne CBD - North,7555.00,13455.17
206041118,Docklands,11006.00,4503.83
206041509,Southbank - East,3532.00,4393.90
206041125,South Yarra - West,5548.00,3693.20
206071142,Fitzroy,4404.00,3197.19
206041117,Carlton,5760.00,3167.96
206041119,East Melbourne,8801.00,3035.18
206071518,Richmond - North,5334.00,2772.93
206051513,St Kilda - Central,4172.00,2713.30
206051514,St Kilda - West,6390.00,2703.35
206041508,Southbank (West) - South Wharf,2105.00,2476.95
206041506,North Melbourne,5669.00,2337.49
206061135,Armadale,4644.00,2127.55
206011106,Brunswick East,4577.00,2111.16
206011495,Brunswick - North,5048.00,2095.70
206011496,Brunswick - South,5561.00,2034.23
206061136,Prahran - Windsor,5539.00,1907.05
206071143,Fitzroy North,4749.00,1895.83
206051128,Albert Park,8742.00,1869.77
206011497,Coburg - East,6891.00,1839.26
206031115,Flemington,2901.00,1835.03
206051512,South Melbourne,3385.00,1791.36
207011520,Hawthorn - South,5333.00,1658.27
206071517,Richmond (South) - Cremorne,7082.00,1651.29
206011107,Brunswick West,5194.00,1634.02
206061515,South Yarra - North,1839.00,1572.35
206061516,South Yarra - South,2116.00,1569.96
206031502,Essendon - East,5500.00,1547.34
206041507,Royal Botanic Gardens Victoria,1983.00,1467.71
206071140,Carlton North - Princes Hill,3344.00,1451.33
206021500,Northcote - West,3799.00,1443.72
206041510,West Melbourne - Residential,1146.00,1389.79
206041124,Parkville,5549.00,1370.56
206051134,St Kilda East,3253.00,1348.03
208041194,Malvern - Glen Iris,8174.00,1328.04
207011521,Kew - South,5598.00,1294.95
206071139,Abbotsford,2101.00,1207.03
208021177,Caulfield - North,7478.00,1165.01
206031116,Moonee Ponds,4986.00,1144.75
206071141,Collingwood,1435.00,1132.59
213031349,Maribyrnong,5914.00,1076.55
207011149,Camberwell,7507.00,1029.64
213031348,Footscray,4895.00,985.43
209021429,Preston - West,3421.00,958.92
207011519,Hawthorn - North,2348.00,956.16
207031166,Burwood East,4003.00,939.29
206031113,Ascot Vale,3510.00,914.98
206061138,Toorak,3885.00,898.61
207031165,Burwood (Vic.),4497.00,892.51
212051567,Clayton (North) - Notting Hill,4504.00,861.39
212041563,Dandenong - North,6594.00,820.17
207031163,Box Hill,5707.00,813.95
207011152,Hawthorn East,3110.00,813.23
212051568,Clayton - Central,3382.00,808.86
206021112,Thornbury,3905.00,781.48
208021181,Murrumbeena,1949.00,775.09
206011109,Pascoe Vale South,2283.00,763.82
212051326,Oakleigh - Huntingdale,7754.00,762.52
208021178,Caulfield - South,3373.00,711.30
208021427,Bentleigh East - South,3122.00,680.53
206011498,Coburg - West,2086.00,654.52
208011171,Highett (West) - Cheltenham,3275.00,615.69
212051322,Glen Waverley - West,4677.00,609.42
207031162,Blackburn South,2153.00,598.69
207031167,Surrey Hills (East) - Mont Albert,1891.00,568.28
208021176,Carnegie,2123.00,558.04
206021499,Northcote - East,1939.00,551.87
208021426,Bentleigh East - North,2516.00,547.12
211041269,Forest Hill,2212.00,543.51
209021428,Preston - East,4154.00,536.39
213011336,Sunshine,2456.00,518.98
211041273,Vermont South,3167.00,512.22
208021174,Bentleigh - McKinnon,3184.00,511.55
208031188,Highett (East) - Cheltenham,4385.00,501.94
208011172,Hampton,2816.00,495.37
208031190,Mentone,2194.00,493.13
206041121,Kensington (Vic.),1054.00,490.92
212021454,Endeavour Hills - South,2703.00,483.86
208021179,Elsternwick,1382.00,482.94
212041565,Keysborough - North,3175.00,480.78
212051325,Mulgrave,5145.00,480.09
207011147,Balwyn,2642.00,473.06
213031347,Braybrook,3331.00,445.00
208031187,Chelsea Heights,1416.00,443.19
207011155,Surrey Hills (West) - Canterbury,2526.00,443.00
212051321,Glen Waverley - East,4008.00,437.44
212041459,Noble Park - East,1634.00,433.76
210031236,Coburg North,2079.00,426.19
211011448,Ferntree Gully (South) - Upper Ferntree Gully,3861.00,422.06
208021180,Hughesdale,841.00,418.51
210011226,Airport West,1551.00,416.94
211011447,Ferntree Gully - North,2892.00,414.11
208021182,Ormond - Glen Huntly,1206.00,410.66
209021525,Reservoir - South East,1706.00,408.29
208041195,Malvern East,3074.00,406.22
211031451,Croydon - West,2695.00,396.53
213011335,St Albans - South,2478.00,395.47
212041460,Noble Park - West,1890.00,394.33
211041272,Vermont,1807.00,392.09
213011334,St Albans - North,2542.00,389.69
212021295,Doveton,2011.00,387.32
208011170,Brighton East,2156.00,384.48
206031501,Essendon (West) - Aberfeldie,1867.00,381.88
212051327,Wheelers Hill,3954.00,378.84
212041309,Clarinda - Oakleigh South,2384.00,377.09
212051323,Mount Waverley - North,2437.00,375.90
209011200,Ivanhoe,1895.00,375.25
212041310,Clayton South,2964.00,373.42
211031450,Croydon - East,2994.00,369.79
211011260,Wantirna South,4918.00,368.30
209011199,Heidelberg West,2452.00,366.47
211011446,Boronia,3964.00,352.02
208031193,Mordialloc - Parkdale,2690.00,337.64
209021205,Kingsbury,3029.00,336.24
212041312,Dandenong North,3178.00,336.07
211011256,Rowville - Central,2736.00,333.72
207031161,Blackburn,2837.00,329.66
208011173,Sandringham - Black Rock,2083.00,323.98
207011154,Kew East,1282.00,319.28
208011169,Brighton (Vic.),2559.00,312.07
210031440,Hadfield,942.00,308.82
212041317,Springvale,3283.00,295.66
210011533,Avondale Heights,1586.00,293.22
206051130,Port Melbourne,802.00,287.55
210011230,Niddrie - Essendon West,782.00,278.97
208031191,Moorabbin - Heatherton,3184.00,272.16
208031186,Chelsea - Bonbeach,1458.00,268.89
207011150,Glen Iris - East,1533.00,268.72
213011333,Kings Park (Vic.),1181.00,266.43
209011196,Bundoora - East,1084.00,266.03
207011522,Kew - West,1648.00,265.39
212041316,Noble Park North,977.00,260.04
211031263,Bayswater North,2539.00,256.29
212051324,Mount Waverley - South,2205.00,253.45
207011146,Ashburton (Vic.),708.00,249.63
206041120,Flemington Racecourse,421.00,246.30
212041313,Dingley Village,1769.00,244.25
213011332,Keilor Downs,1850.00,241.49
211011254,Knoxfield - Scoresby,3664.00,240.07
208031185,Carrum - Patterson Lakes,1355.00,232.65
211031266,Ringwood,2304.00,232.52
211011259,Wantirna,1842.00,221.80
210031538,Pascoe Vale,1021.00,220.51
211041270,Mitcham (Vic.),1422.00,214.61
208031189,Edithvale - Aspendale,1094.00,214.52
206041127,West Melbourne - Industrial,1291.00,208.25
211011251,Bayswater,1610.00,200.20
207011148,Balwyn North,1761.00,199.02
212041318,Springvale South,905.00,198.50
212051319,Ashwood - Chadstone,1324.00,197.37
211051277,Kilsyth,1618.00,196.36
206071145,Clifton Hill - Alphington,1011.00,194.11
211041271,Nunawading,956.00,188.29
206021110,Alphington - Fairfield,543.00,188.22
209041217,Bundoora - West,471.00,183.95
211031452,Croydon South,520.00,182.12
210031537,Oak Park,423.00,179.71
213031350,Seddon - Kingsville,291.00,173.20
213011331,Delahey,592.00,168.85
206051129,Elwood,428.00,167.61
210031536,Glenroy - West,423.00,162.00
209011201,Ivanhoe East - Eaglemont,659.00,154.07
212021297,Hallam,1224.00,151.96
213031352,Yarraville,843.00,149.98
209021526,Reservoir - South West,837.00,148.80
210011534,Keilor East,788.00,143.70
209011198,Heidelberg - Rosanna,876.00,137.49
208011168,Beaumaris,817.00,136.91
211031267,Ringwood East,1269.00,135.13
209041216,Bundoora - North,625.00,132.58
211051280,Montrose,1376.00,130.55
213011337,Sunshine North,1019.00,127.00
212021453,Endeavour Hills - North,1832.00,126.60
211051281,Mooroolbark,1534.00,122.32
213011339,Sydenham,477.00,120.79
208031183,Aspendale Gardens - Waterways,626.00,117.97
212021456,Narre Warren - South West,1087.00,116.84
209031209,Eltham,2221.00,113.99
208031192,Moorabbin Airport,350.00,113.81
211051283,Mount Evelyn,1926.00,113.40
213011340,Taylors Lakes,2010.00,108.85
213011569,Deer Park,873.00,108.07
211011257,Rowville - North,450.00,107.98
213041463,Caroline Springs,733.00,105.42
213021344,Newport,925.00,104.63
211051284,Upwey - Tecoma,926.00,104.18
213041360,Taylors Hill,580.00,97.18
210011227,Essendon Airport,313.00,93.29
211051275,Chirnside Park,2037.00,91.77
208031184,Braeside,774.00,85.24
209011197,Greensborough,860.00,85.18
211031265,Croydon Hills - Warranwood,800.00,84.30
206051511,Port Melbourne Industrial,569.00,74.45
211011449,The Basin,405.00,70.87
210031535,Glenroy - East,404.00,64.66
213031351,West Footscray - Tottenham,380.00,63.53
211011258,Rowville - South,583.00,62.34
209031215,Wattle Glen - Diamond Creek,1623.00,60.51
213011329,Cairnlea,255.00,57.87
209011204,Watsonia,194.00,51.25
212031306,Lynbrook - Lyndhurst,374.00,50.84
212041566,Keysborough - South,1168.00,49.34
214011375,Seaford (Vic.),587.00,47.22
213021346,Williamstown,343.00,46.68
213011328,Ardeer - Albion,203.00,44.24
213041462,Burnside Heights,87.00,43.60
209021523,Reservoir - North East,202.00,42.19
212021293,Berwick - North,830.00,42.04
214011371,Frankston,465.00,40.01
211051282,Mount Dandenong - Olinda,3260.00,39.82
210051242,Broadmeadows,296.00,33.53
211051278,Lilydale - Coldstream,3645.00,33.33
211051274,Belgrave - Selby,1843.00,33.13
212031562,Hampton Park - West,168.00,32.80
210051248,Melbourne Airport,991.00,32.61
210031237,Fawkner,161.00,31.66
213051363,Laverton,671.00,30.16
213021341,Altona,501.00,28.33
209041223,Thomastown,411.00,27.99
211021262,Warrandyte - Wonga Park,1203.00,26.30
209031214,Research - North Warrandyte,1284.00,25.79
209041436,South Morang - South,199.00,25.70
210051544,Roxburgh Park (South) - Somerton,227.00,25.57
210011231,Strathmore,106.00,25.57
209041220,Mill Park - North,206.00,25.32
213051590,Wyndham Vale - South,123.00,24.81
209041532,Mernda - South,204.00,23.65
209041530,Lalor - West,202.00,23.12
211011255,Lysterfield,422.00,22.82
210051443,Craigieburn - South,253.00,21.23
209011203,Viewbank - Yallambie,216.00,21.10
210051243,Campbellfield - Coolaroo,377.00,20.73
212031300,Cranbourne,244.00,18.74
212041564,Dandenong - South,1006.00,18.71
213051361,Hoppers Crossing - North,194.00,17.77
213041353,Bacchus Marsh,3442.00,17.53
209031210,Hurstbridge,233.00,15.70
209041435,South Morang - North,199.00,14.52
209011202,Montmorency - Briar Hill,162.00,13.47
209041432,Epping - South,208.00,13.11
212011546,Beaconsfield - Officer,371.00,11.16
211051279,Monbulk - Silvan,644.00,9.40
213041578,Melton South - Weir Views,103.00,9.34
209031213,Plenty - Yarrambat,248.00,8.52
212011551,Pakenham - South East,258.00,8.34
212011552,Pakenham - South West,185.00,8.31
213051584,Tarneit - North,116.00,8.08
213011338,Sunshine West,96.00,7.40
212031561,Hampton Park - East,54.00,6.57
210051250,Tullamarine,22.00,5.70
211051285,Wandin - Seville,619.00,5.54
210051247,Meadow Heights,24.00,5.19
213041572,Cobblebank - Strathtulloh,96.00,4.86
210041540,Sunbury - South,198.00,4.78
210051545,Roxburgh Park - North,16.00,4.69
213041574,Fraser Rise - Plumpton,250.00,4.26
212011289,Emerald - Cockatoo,1455.00,3.92
210021232,Gisborne,605.00,2.87
210041539,Diggers Rest,135.00,2.60
211051286,Yarra Valley,1547.00,2.12
212021299,Narre Warren North,73.00,2.12
211051276,Healesville - Yarra Glen,752.00,2.04
209041224,Wallan,1025.00,2.02
210051441,Craigieburn - Central,7.00,1.76
213051368,Werribee - South,196.00,1.72
213041359,Rockbank - Mount Cottrell,209.00,1.66
210051245,Gladstone Park - Westmeadows,22.00,1.58
212031560,Cranbourne North - West,7.00,1.46
210051543,Craigieburn - West,5.00,1.22
214021379,Hastings - Somers,126.00,1.16
210021234,Riddells Creek,55.00,0.66
210031439,Gowanbrae,1.00,0.66
212031457,Narre Warren South - East,4.00,0.64
214021385,Somerville,75.00,0.64
210021233,Macedon,47.00,0.64
213051468,Werribee - West,80.00,0.63
212031304,Cranbourne West,8.00,0.62
212021554,Berwick - South West,3.00,0.60
212031558,Cranbourne East - South,3.00,0.56
212031559,Cranbourne North - East,3.00,0.55
210051442,Craigieburn - North,7.00,0.52
212011547,Bunyip - Garfield,188.00,0.51
212031557,Cranbourne East - North,5.00,0.45
210021235,Romsey,273.00,0.44
212031458,Narre Warren South - West,2.00,0.30
212011548,Koo Wee Rup,93.00,0.22
212031303,Cranbourne South,17.00,0.21
212031308,Pearcedale - Tooradin,17.00,0.17
209041225,Whittlesea,43.00,0.14
210011228,Keilor,2.00,0.11
212021553,Berwick - South East,1.00,0.10
212011549,Pakenham - North East,1.00,0.05
212011550,Pakenham - North West,1.00,0.04
209031211,Kinglake,2.00,0.01
